"id","alat","alon","address","district","plz","educational","topics","languages","name","type","parent","parentType","mo_o","mo_c","tu_o","tu_c","we_o","we_c","th_o","th_c","fr_o","fr_c","all","over","under"
"158129","52.55548","13.57741","Glambecker Ring 80 - 82","Marzahn","12679","8|2","","","Kita Die Bergzwerge","0","898","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","150","124","26"
"742279","52.47738","13.43624","Kienitzer Str. 16","Neukölln","12053","","","","Kita Die drei Affen","0","899","1","0","0","0","0","0","0","0","0","0","0","22","null","null"
"1176","52.60415","13.41785","Nantesstr. 69","Französisch Buchholz","13127","2|3","1|4","","Kita Die Insel","0","533","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","95","69","26"
"698229","52.5851124","13.428515","Pankower Str. 1","Französisch Buchholz","13156","","","","Kita Die Kiezkrümel","0","900","1","0","0","0","0","0","0","0","0","0","0","22","null","null"
"167","52.52197","13.43369","Strausberger Str. 49","Friedrichshain","10243","","2","","KITA Die kleinen Entdecker","0","531","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","90","58","32"
"648229","52.46372","13.4798","Heidekampweg 45A","Baumschulenweg","12437","2","2|4","","Kita Die kleinen Entdecker","0","901","1","06:30","17:30","06:30","17:30","06:30","17:30","06:30","17:30","06:30","17:30","40","21","19"
"395129","52.55033","13.35989","Malplaquetstr. 35","Wedding","13347","0|16","","","Kita Die kleinen Frösche","0","902","1","07:30","17:00","07:30","17:00","07:30","17:00","07:30","17:00","07:30","16:00","19","2","17"
"278129","52.44395","13.56426","Rudower Str. 37 -39","Köpenick","12557","5","2","","KITA Die kleinen Füchse","0","531","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","67","48","19"
"1301","52.43812","13.331","Beethovenstr. 34 rechts","Lankwitz","12247","2","","","Kita Die Kobolde (Wohneinheit rechts)","0","696","1","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","37","27","10"
"715229","52.493","13.61316","Lutherstr. 12","Mahlsdorf","12623","","","","Kita Die Lutherzwerge","0","903","1","0","0","0","0","0","0","0","0","0","0","28","null","null"
