id,lat,lon,e,alat,alon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c,all,over,under
158,52.520298,13.4301531,0,52.52028,13.43031,"9|6|4|2",,,"FRÖBEL Kindergarten FRÖBELSPATZEN",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,230,132,98
1229,52.49425,13.45918,0,52.49436,13.45919,"6|2",,,"FRÖBEL Kindergarten Heureka",0,8,1,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,76,52,24
303129,52.46541999999999,13.47347,0,52.46533,13.47358,"6",,,"FRÖBEL Kindergarten Highdechsen",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,80,64,16
766229,52.5028689,13.4367203,0,52.50299,13.43657,,,,"FRÖBEL Kindergarten kaleidoscope",0,8,1,0,0,0,0,0,0,0,0,0,0,25,null,null
808,52.51926,13.44391,0,52.51919,13.44394,"6|2",,,"FRÖBEL Kindergarten Kleine Füße-Naseweis",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,210,126,84
275129,52.52858,13.39022,0,52.5287,13.39041,"6|4",,,"FRÖBEL Kindergarten Mittendrin",0,8,1,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,180,123,57
1206,52.4948744,13.4735612,0,52.49544,13.47438,"6|2",,,"FRÖBEL Kindergarten Palmkernzeile",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,156,94,62
226129,52.53297689999999,13.2734747,0,52.53375,13.27461,"6|12",,,"FRÖBEL Kindergarten Siemens Technopark",0,8,1,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,115,74,41
2997,52.50192,13.36945,0,52.50125,13.36869,"6|12",,,"FRÖBEL Kindergarten Stepping Stones",0,8,1,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,161,97,64
227,52.4934989,13.458632,0,52.49378,13.45803,"6|4",,,"FRÖBEL Kindergarten Wirbelwind",0,8,1,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,240,152,88
1281,52.4411395,13.3169633,0,52.44101,13.31666,"6|2",,,"FRÖBEL Kindergarten Zwergenwiese",0,8,1,06:45,17:15,06:45,17:15,06:45,17:15,06:45,17:15,06:45,17:15,36,24,12
224,52.4530406,13.5052261,0,52.45307,13.50505,"9|6|8|4",,,"FRÖBEL Kindergarten-im-Grünen",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,240,166,74
801229,52.5564034,13.5639941,1,52.54625,13.57031,,,,"Gemeinschaftsunterkunft Blumberger Damm (Sprachförderung)",0,519,1,0,0,0,0,0,0,0,0,0,0,15,null,null
537279,52.56443,13.21473,0,52.56493,13.2113,,"0|2",,"Gerda und Rolf Schopf Kindertagesstätte",0,30,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,100,67,33
944,52.5522157,13.3569141,0,52.55199,13.35691,,,,"Groni-Weddinger Kinder- u.Jugendzentrum",1,520,2,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,17,11,6
958,52.55016029999999,13.3605515,0,52.55024,13.36069,,,,"Groni-Weddinger Kinder- u.Jugendzentrum",1,520,2,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,15,10,5
964,52.5505686,13.3556495,0,52.55057,13.35559,,,,"Groni-Weddinger Kinder- u.Jugendzentrum",1,520,2,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,12,9,3
732,52.54995,13.35998,0,52.5501,13.36031,,,,"Groni-Weddinger Kinder- u.Jugendzentrum - Malplaquet 37",1,520,2,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,16,16,0
228129,52.4668523,13.3192462,0,52.46689,13.31933,,,,"Happy Kids Kreuznacher Straße",0,521,1,0,0,0,0,0,0,0,0,0,0,20,12,8
1888,52.4693894,13.3253773,1,52.46995,13.33708,,,,"Heilsarmee Kita Volltreffer",0,522,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:00,55,35,20
548229,52.5150126,13.2882446,0,52.51498,13.2881,,,,"Heinrich-Zille-Kita",0,523,1,0,0,0,0,0,0,0,0,0,0,25,18,7
2374,52.5413995,13.3537974,0,52.54141,13.35385,"2","1|2|3|4|6","6|2|4|3","Hinterhof-Tiger",1,524,2,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,25,15,10
652229,52.38629,13.41139,0,52.38635,13.4112,,,,"Hisa Kita Kirchhainer Damm",0,525,1,0,0,0,0,0,0,0,0,0,0,57,33,24
433,52.4383683,13.5476276,0,52.4383,13.5474,"17","2",,"Humanistische Kita Adlershofer Marktspatzen",0,526,1,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,50,50,0
430,52.4481609,13.5102755,0,52.44811,13.5104,"12","2",,"Humanistische Kita Am Park",0,526,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,84,84,0
209129,52.5019332,13.4554471,0,52.49484,13.47131,"17","2",,"Humanistische Kita Bahrfeldtstraße",0,526,1,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,17:00,120,120,0
1372,52.4766,13.43608,0,52.47645,13.43653,,,,"Humanistische Kita Bornsdorfer Straße",0,526,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,88,88,0
445,52.45199,13.54086,0,52.45161,13.54125,,"2",,"Humanistische Kita Dreikäsehoch",0,526,1,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,90,90,0
1878,52.4725084,13.340393,0,52.47213,13.34014,,"2",,"Humanistische Kita Friedenauer Strolche",0,526,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,17:00,180,180,0
