ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_EU1;E_E1U6;E_E6U15;E_E15U18;E_E18U25;E_E25U55;E_E55U65;E_E65U80;E_E80U110
201612;12214422;12;21;44;22;2;7955;3998;3957;76;113;114;170;81;91;82;192;193;173;92;231;282;495;260;421;642;539;457;519;586;472;221;124;170;188;347;365;168;66;19;6;76;478;823;231;777;3424;817;1070;259
201612;12214423;12;21;44;23;2;5517;2696;2821;45;42;46;97;52;36;34;64;75;66;37;128;133;236;148;254;378;292;289;344;435;414;200;132;158;237;343;430;242;101;22;7;45;237;312;128;369;2140;746;1168;372
201612;12214424;12;21;44;24;2;10663;5367;5296;116;144;128;213;104;117;93;179;203;172;74;257;319;623;406;670;859;705;620;722;848;745;338;227;252;274;430;437;243;99;32;14;116;589;838;257;942;4830;1310;1393;388
201612;12214527;12;21;45;27;2;10698;4914;5784;101;89;80;143;63;55;52;122;103;119;65;199;240;407;247;420;681;630;536;757;881;729;367;252;303;448;777;805;471;306;182;68;101;375;516;199;647;4152;1348;2333;1027
201612;12214528;12;21;45;28;2;252;128;124;0;0;0;0;0;0;0;3;0;0;4;18;43;27;24;18;27;10;10;9;12;6;6;6;3;3;7;7;6;3;0;0;0;0;7;18;70;110;18;20;9
201612;12224229;12;22;42;29;2;6081;2977;3104;40;40;42;96;39;58;46;103;110;100;72;233;183;162;71;109;201;271;287;474;572;480;266;175;212;296;503;472;220;106;30;12;40;217;489;233;345;1985;921;1483;368
201612;12224230;12;22;42;30;2;18043;8819;9224;133;132;148;335;143;171;154;331;285;332;166;574;536;474;256;392;701;808;934;1407;1759;1550;831;530;607;788;1248;1247;661;256;119;35;133;758;1439;574;1010;6257;2911;3890;1071
201612;12231101;12;23;11;01;2;16532;7960;8572;123;134;123;279;131;151;153;269;286;300;148;507;466;491;201;322;660;739;883;1236;1537;1289;674;437;554;775;1310;1225;671;321;101;36;123;667;1307;507;957;5578;2400;3864;1129
201612;12231102;12;23;11;02;2;16886;8078;8808;94;135;124;308;147;151;183;351;347;384;178;580;529;406;191;248;505;693;880;1394;1557;1246;653;437;486;722;1340;1313;719;366;178;41;94;714;1594;580;935;5468;2336;3861;1304
201612;12301203;12;30;12;03;2;15270;7677;7593;141;133;154;263;120;125;118;247;219;230;142;366;443;687;435;629;965;842;762;1025;1267;1037;540;334;389;485;948;1090;640;304;131;59;141;670;1081;366;1130;5925;1911;2912;1134
201612;12301204;12;30;12;04;2;6561;3272;3289;33;44;70;111;65;51;50;104;111;124;57;224;296;306;139;172;302;314;306;493;602;511;282;138;196;240;403;415;227;120;40;15;33;290;497;224;602;2328;931;1254;402
201612;12301205;12;30;12;05;2;4924;2374;2550;37;41;36;90;33;48;40;81;84;73;57;138;144;192;105;157;242;236;299;393;418;353;196;127;139;197;337;297;143;111;65;15;37;200;383;138;336;1850;676;970;334
201612;12301206;12;30;12;06;2;5120;2522;2598;39;39;38;69;55;50;69;105;94;105;63;153;152;138;60;98;212;247;322;403;499;413;248;159;160;201;332;360;154;56;24;3;39;201;486;153;290;1841;820;1053;237
201612;12302107;12;30;21;07;2;3054;1481;1573;22;30;22;40;26;23;13;61;51;55;33;94;100;161;72;106;103;150;137;234;274;259;123;75;80;140;212;207;83;56;9;3;22;118;236;94;261;1076;457;639;151
201612;12302108;12;30;21;08;2;14505;6911;7594;166;165;170;365;164;181;166;386;344;382;171;576;474;643;351;518;811;820;810;872;915;791;375;325;356;542;877;926;535;204;88;36;166;864;1630;576;1117;5097;1491;2701;863
201612;12302109;12;30;21;09;2;11666;5665;6001;157;173;183;340;181;166;188;331;286;292;156;415;409;558;316;501;781;759;654;705;671;624;327;217;248;384;513;561;332;173;56;9;157;877;1419;415;967;4387;1168;1706;570
201612;12302110;12;30;21;10;2;10481;5085;5396;104;165;154;327;139;174;173;318;326;292;150;461;422;449;292;424;695;648;615;643;636;598;287;196;203;257;463;469;254;104;34;9;104;785;1433;461;871;3953;1081;1392;401
201612;12302211;12;30;22;11;2;3301;1637;1664;21;15;18;42;21;15;6;31;36;46;19;83;79;127;71;110;170;131;154;220;332;272;122;87;109;156;279;268;172;73;16;0;21;96;153;83;206;1188;481;812;261
201612;12302212;12;30;22;12;2;5929;2965;2964;63;79;78;178;81;72;84;172;187;165;79;240;225;282;122;261;377;378;322;419;384;318;180;89;104;137;284;316;176;59;15;3;63;416;759;240;507;2263;587;841;253
201612;12304313;12;30;43;13;2;6619;3301;3318;62;61;42;88;47;43;50;95;84;95;43;128;183;308;207;344;474;413;360;506;648;514;254;134;153;205;348;369;210;104;37;10;62;238;410;128;491;2952;902;1075;361
201612;12304314;12;30;43;14;2;9660;4494;5166;60;75;65;111;55;80;57;132;103;130;58;229;235;374;208;388;573;464;463;722;913;713;374;264;290;409;697;699;386;214;94;25;60;306;560;229;609;3731;1351;2095;719
